cameralocation,cameranumber,cameraproject,location_1
Eutaw and Lexington Market,1,Downtown,POINT(-76.621074 39.290996)
Eutaw and Fayette,2,Downtown,POINT(-76.62366514368034 39.29048796517317)
Eutaw and Baltimore,3,Downtown,POINT(-76.620985 39.289324)
Eutaw and Redwood,4,Downtown,POINT(-76.620948 39.288678)
Eutaw and Lombard,5,Downtown,POINT(-76.620854 39.287528)
Eutaw and Camden,6,Downtown,POINT(-76.620675 39.285245)
Paca and Pratt,7,Downtown,POINT(-76.622129 39.286257)
Greene and Lombard,8,Downtown,POINT(-76.623616 39.287415)
Greene and Baltimore,9,Downtown,POINT(-76.623695 39.289222)
Greene and Fayette,10,Downtown,POINT(-76.623777 39.290333)
Greene and Lexington,11,Downtown,POINT(-76.623837 39.291377)
Paca and Fayette,12,Downtown,POINT(-76.622411 39.29037)
S Howard St and W Lombard St,13,Downtown,POINT(-76.62415923667673 39.2896453563782)
S Howard St and W Pratt St,14,Downtown,POINT(-76.619369 39.286315)
S Howard St and W Camden St,15,Downtown,POINT(-76.619283 39.285302)
S Hanover and W Pratt St,16,Downtown,POINT(-76.616191 39.286452)
Hopkins Pl and W Lombard St,17,Downtown,POINT(-76.617692 39.287668)
Park Ave and W Baltimore St,18,Downtown,POINT(-76.61779 39.289384)
S Howard St and W Baltimore St,19,Downtown,POINT(-76.61948 39.289386)
N Howard St and W Fayette St,20,Downtown,POINT(-76.61949 39.290447)
N Howard St and W Lexington St,21,Downtown,POINT(-76.619664 39.291602)
Park Ave and W Lexington St,22,Downtown,POINT(-76.61802 39.291581)
N Liberty St and W Lexington St,23,Downtown,POINT(-76.617084 39.29167)
N Liberty St and W Fayette St,24,Downtown,POINT(-76.617674 39.290451)
Park Ave and W Fayette St,25,Downtown,POINT(-76.617985 39.290501)
N Liberty St and Clay St,26,Downtown,POINT(-76.61732584342438 39.29198241179331)
Cathedral St and W Saratoga St,27,Downtown,POINT(-76.616777 39.293019)
Cathedral St and W Mulberry St,28,Downtown,POINT(-76.616793 39.294053)
N Charles St and E Mulberry St,29,Downtown,POINT(-76.615489 39.294151)
Cathedral St and W Franklin St,30,Downtown,POINT(-76.616872 39.295048)
Park Ave and W Franklin St,31,Downtown,POINT(-76.618324 39.295011)
Park Ave and W Mulberry St,32,Downtown,POINT(-76.618224 39.294017)
Park Ave and W Saratoga St,33,Downtown,POINT(-76.618158 39.292954)
N Howard St and W Saratoga St,34,Downtown,POINT(-76.619659 39.292896)
N Howard St and W Mulberry St,35,Downtown,POINT(-76.619773 39.293987)
N Howard St and W Franklin St,36,Downtown,POINT(-76.6204455688389 39.29544637914841)
N Howard St and W Centre St,37,Downtown,POINT(-76.619917 39.296209)
N Eutaw St and George St,38,Downtown,POINT(-76.621317 39.29579)
S Paca St and W Baltimore St,39,Downtown,POINT(-76.62233 39.289278)
N Eutaw St and W Saratoga,40,Downtown,POINT(-76.621145 39.29283)
N Paca St and W Saratoga St,41,Downtown,POINT(-76.622539 39.292822)
N Paca St and W Mulberry St,42,Downtown,POINT(-76.622571 39.293837)
N Paca St and W Lexington St,43,Downtown,POINT(-76.622441 39.291428)
N Greene St and W Franklin St,44,Downtown,POINT(-76.623951 39.294792)
N Greene St and W Saratoga St,45,Downtown,POINT(-76.623895 39.29284)
N Eutaw St and W Franklin St,46,Downtown,POINT(-76.62126 39.29489)
N Eutaw St and Druid Hill Ave,47,Downtown,POINT(-76.62127017974854 39.29669586515518)
N Eutaw St and W Mulberry St,48,Downtown,POINT(-76.621199 39.293915)
N Paca St and George St,49,Downtown,POINT(-76.622656 39.295792)
Cathedral St and W Centre St,50,Downtown,POINT(-76.6169571877 39.2962994055)
Center Plaza and,51,Downtown,POINT(-76.61647439002991 39.29132167379627)
Hopkins Plaza and,52,Downtown,POINT(-76.61627054214478 39.28878908065192)
Charles and Baltimore,53,Downtown,POINT(-76.615144 39.289526)
S Charles St and E Lombard St,54,Downtown,POINT(-76.614863 39.287744)
Saint Paul St and E Lexington St,55,Downtown,POINT(-76.613976 39.29117)
Light St and E Redwood St,56,Downtown,POINT(-76.6137170792 39.2888202196)
N Calvert St and E Fayette St,57,Downtown,POINT(-76.612448 39.290387)
S Calvert St and E Redwood St,58,Downtown,POINT(-76.612025 39.288933)
S Calvert St and E Lombard St,59,Downtown,POINT(-76.612135 39.287825)
Guilford Ave and E Lexington St,60,Downtown,POINT(-76.611114 39.291245)
South St and E Baltimore St,61,Downtown,POINT(-76.611048 39.289701)
South St and Water St,62,Downtown,POINT(-76.610961 39.288566)
N Holiday St and E Saratoga St,63,Downtown,POINT(-76.610355 39.292495)
N Holiday St and E Fayette St,64,Downtown,POINT(-76.610276 39.290498)
CommerceSt and E Lombard St,65,Downtown,POINT(-76.610116 39.287849)
CommerceSt and E Pratt St,66,Downtown,POINT(-76.610022 39.286662)
Custom House Ave and,67,Downtown,POINT(-76.6097554564476 39.28921049389631)
S Gay St and E Baltimore St,68,Downtown,POINT(-76.608945 39.289772)
S Gay St and Water St,69,Downtown,POINT(-76.608832 39.288624)
E Saratoga St and E Lexington St,70,Downtown,POINT(-76.6078296304 39.291377722)
Market Pl and E Lombard St,71,Downtown,POINT(-76.606944 39.287904)
Pearl St and W Lexington St,72,Downtown,POINT(-76.624648 39.291325)
N Greene St and W Mulberry St,73,Downtown,POINT(-76.62393 39.293779)
Druid Hill Ave and Saint Mary St,74,Downtown,POINT(-76.6228714585 39.2975053831)
Pennsylvania Ave and Saint Mary St,75,Downtown,POINT(-76.6250628232956 39.2958219903579)
N Eutaw St and W Monument St,76,Downtown,POINT(-76.621448 39.297269)
Saratoga and Charles,77,Downtown,POINT(-76.615414 39.292327)
Saint Paul St and Franklin,78,Downtown,POINT(-76.61387088413701 39.29510952826693)
Charles and Fayette,79,Downtown,POINT(-76.61448535732322 39.29062818125496)
E Fayette St and N Broadway,201,Broadway,POINT(-76.594117 39.293968)
E Fairmount Ave and N Broadway,202,Broadway,POINT(-76.594029 39.292632)
E Baltimore St and S Broadway,203,Broadway,POINT(-76.593944 39.291542)
E Baltimore St and S Ann St,204,Broadway,POINT(-76.591777 39.291616)
E Baltimore St and S Washington St,205,Broadway,POINT(-76.589201 39.291747)
E Lombard St and S Broadway,206,Broadway,POINT(-76.593869 39.290399)
E Lombard St and S Ann St,207,Broadway,POINT(-76.59171 39.290499)
E Lombard St and S Durham St,208,Broadway,POINT(-76.591047 39.29052)
E Lombard St and S Chapel St,209,Broadway,POINT(-76.589749 39.290555)
E Lombard St and S Washington St,210,Broadway,POINT(-76.589106 39.290573)
E Pratt St and S Broadway,211,Broadway,POINT(-76.593803 39.289257)
E Pratt St and N Bond St,212,Broadway,POINT(-76.59571141004562 39.28913991254447)
Gough St and S Broadway,213,Broadway,POINT(-76.593704 39.287623)
GoughSt and S Regester St,214,Broadway,POINT(-76.592432 39.287696)
Bank St and S Broadway,215,Broadway,POINT(-76.593638 39.286609)
Bank St and S Bond St,216,Broadway,POINT(-76.59544 39.286512)
Bank St and Caroline St,217,Broadway,POINT(-76.596843 39.286468)
Eastern Ave and S Broadway,218,Broadway,POINT(-76.593557 39.285578)
Eastern Ave and S Ann St,219,Broadway,POINT(-76.591406 39.285686)
Fleet St and S Broadway,220,Broadway,POINT(-76.59356564283371 39.28460387354584)
Fleet St and S Broadway St (East),221,Broadway,POINT(-76.59326 39.284564)
Fleet St and S Ann St,222,Broadway,POINT(-76.591353 39.284726)
Fleet St and S Caroline St,223,Broadway,POINT(-76.596724 39.284425)
Fleet St and S Eden St,224,Broadway,POINT(-76.598245 39.284346)
S Broadway and Aliceanna St (East),225,Broadway,POINT(-76.5931847691536 39.2835346957123)
Aliceanna and Broadway (West),226,Broadway,POINT(-76.5944198688385 39.28338830847735)
ThamesSt and S Broadway,227,Broadway,POINT(-76.593125 39.281841)
2708 Berea Rd (rear),301,Cherry Hill,POINT(-76.6328664032978 39.25063860740345)
1312 Shellbanks (rear),302,Cherry Hill,POINT(-76.63143875898255 39.25119718433155)
