the_geom,Score,Match_type,Side,Status,X,Y,Match_addr,ARC_Street,Number,Name,Installed
POINT (-78.8125290549313 42.84835797656724),69,A,,M,1086829.9549971782,1037893.1350271851,ABBOTT RD & LORRAINE AVE,Abbott / Lorraine,A1,Abbott / Lorraine,2008-2010
POINT (-78.80205999526287 42.87177302524901),55,M,,M,1089659.524999816,1046419.1750351265,CLINTON ST & S OGDEN ST,CLINTON / OGDEN,A2,Clinton / Ogden,11/1/2016
POINT (-78.80331093555911 42.8498550205171),69,M,,M,1089303.3349994794,1038432.1350276917,SENECA ST & CAZENOVIA PKWY,SENECA / CAZENOVIA PARK,A3,Seneca / Cazenovia Park,2008-2010
POINT (-78.8342999796484 42.87053401913371),69,A,,M,1081015.884991765,1045991.7250347286,SENECA ST & BABCOCK ST,Seneca / Babcock,A4,Seneca / Babcock,2008-2010
POINT (-78.81325055665576 42.858526208558494),85,M,,M,1086643.9149970077,1041550.525030598,SENECA ST & MINERAL SPRINGS RD,SENECA / MINERAL SPRINGS RD,A10,Seneca / Mineral Springs,2008-2010
POINT (-78.82374196263655 42.84169695887366),85,M,,M,1083816.1449943706,1035473.9450249374,S PARK AVE & LADNER AVE,SOUTH PARK AV/ LADNER,A11,South Park / Ladner,2008-2010
POINT (-78.83220604943006 42.85596101906687),69,A,,M,1081561.5049922764,1040678.9950297847,HOPKINS ST & PEMBINA ST,Hopkins / Pembina,A12,Hopkins / Pembina,2008-2010
POINT (-78.83924530305751 42.8930753081426),100,PP,,M,1079715.1773516529,1054210.8128201384,,BROADWAY / FILLMORE,C37,Broadway / Fillmore,1/1/2017
POINT (-78.86453295044811 42.87173796542819),85,M,,M,1072912.8949842155,1046456.105035156,S PARK AVE & LOUISIANA ST,SOUTH PARK AV / LOUISIANA,A14,South Park / Louisiana,2008-2010
POINT (-78.87746490085736 42.86659597517108),100,PP,,M,1069439.7906621846,1044593.9688506216,,400 FUHRMAN,A15,400 Fuhrman,2008-2010
POINT (-78.86425236896706 42.85221718719853),100,PP,,M,1072964.3806869744,1039341.5944830412,,1200 FUHRMAN,A16,1200 Fuhrman,2008-2010
POINT (-78.82387074240997 42.84845474464061),100,A,R,M,1083788.638381163,1037936.8802287227,1847 S PARK AVE,1847 South Park Av (Lobby),A97 - 99,1847 South Park Av,1/1/2012
POINT (-78.89143497960161 42.89700001659375),69,A,,M,1065735.1849775352,1055688.0150437579,BUSTI AVE & PENNSYLVANIA ST,Busti / Pennsylvania,B1,Busti / Pennsylvania,2008-2010
POINT (-78.87674296649692 42.89074300170757),55,M,,M,1069663.994981192,1053393.5950416178,W CHIPPEWA ST & DELAWARE AVE,CHIPPEWA / DELAWARE,B2,Chippewa / Delaware,2008-2010
POINT (-78.87711796297316 42.89945497916234),69,A,,M,1069574.5849811062,1056569.005044587,ELMWOOD AVE & ALLEN ST,Elmwood / Allen,B3,Elmwood / Allen,2008-2010
POINT (-78.86200198908232 42.900284955441016),69,A,,M,1073625.7849848792,1056857.7150448486,HIGH ST & MAPLE ST,High / Maple,B4,High / Maple,2008-2010
POINT (-78.85406238974169 42.8850503167011),100,PP,,M,1075735.2490912408,1051298.5473489354,,JEFFERSON / WILLIAM,B5,Jefferson / William,2008-2010
POINT (-78.87437903292154 42.885674994467614),69,A,,M,1070291.0949817747,1051544.3750399053,MAIN ST & COURT ST,Main / Court,B6,Main / Court,2008-2010
POINT (-78.86591303019495 42.91124894223877),55,M,,M,1072591.284983918,1060857.015048571,MAIN ST & E UTICA ST,MAIN / UTICA,B7,Main / Utica,2008-2010
POINT (-78.88848798520425 42.89385598934887),69,A,,M,1066520.6849782616,1054539.3050426915,BUSTI AVE & MARYLAND ST,Busti / Maryland,B8,Busti / Maryland,2008-2010
POINT (-78.88181993448366 42.890272966860884),69,A,,M,1068302.8649799265,1053227.0750414655,NIAGARA ST & GEORGIA ST,Niagara / Georgia,B9,Niagara / Georgia,2008-2010
POINT (-78.87336625386952 42.891972906918205),100,PP,,M,1070570.4285413655,1053838.695048493,,SHEAS AT PEARL,B10,Sheas at Pearl,2008-2010
POINT (-78.8833089698361 42.89183901358718),69,A,,M,1067905.864979554,1053799.2350420058,NIAGARA ST & CAROLINA ST,Niagara / Carolina,B13,Niagara / Carolina,2008-2010
POINT (-78.87710096972499 42.90987600879028),69,A,,M,1069592.3949811235,1060366.915048115,ELMWOOD AVE & HODGE AVE,Elmwood / Hodge,B14,Elmwood / Hodge,2008-2010
POINT (-78.88673706190946 42.90632598873329),69,A,,M,1067006.2549787126,1059082.2750469148,CONNECTICUT ST & 14TH ST,Connecticut / 14th,B17,Connecticut / 14th,2008-2010
POINT (-78.88624103232331 42.894987001471414),69,A,,M,1067124.2749788277,1054949.3250430748,NIAGARA ST & MARYLAND ST,Niagara / Maryland,B18,Niagara / Maryland,2008-2010
POINT (-78.88772956215304 42.88021493650636),100,PP,,M,1066705.9415911927,1049567.1265003937,,ERIE BASIN MARINA LOT,B30,Erie Basin Marina Lot,2008-2010
POINT (-78.87815337006192 42.88679716915731),100,A,,T,1069385.9648836472,1051657.984476221,NIAGARA SQ,Niagara Square,B31,Niagara Square,2008-2010
POINT (-78.87192401484073 42.889910958186974),55,M,,M,1070954.3349823877,1053085.8950413316,E CHIPPEWA ST & WASHINGTON ST,CHIPPEWA / WASHINGTON,B32,Chippewa / Washington,2008-2010
POINT (-78.86988899733473 42.899405966706226),69,A,,M,1071511.4649829157,1056544.465044558,MAIN ST & ALLEN ST,Main / Allen,B33,Main / Allen,2008-2010
POINT (-78.8796504804168 42.8772563574839),100,PP,,M,1068867.542523966,1048481.1580784773,,CANALSIDE,B35,Canalside,2008-2010
POINT (-78.87517902632136 42.890470992144856),55,M,,M,1070082.7549815811,1053293.0050415248,W CHIPPEWA ST & FRANKLIN ST,CHIPPEWA / FRANKLIN,B36,Chippewa / Franklin,2008-2010
POINT (-78.88094598892796 42.89767597740602),69,A,,M,1068546.604980152,1055924.255043976,MARYLAND ST & COTTAGE ST,Maryland / Cottage,B37,Maryland / Cottage,2008-2010
POINT (-78.87713704242105 42.90225502791447),64,A,,M,1069573.0349811018,1057589.4950455278,ELMWOOD AVE & NORTH ST,Elmwod / North,B38,Elmwod / North,2008-2010
POINT (-78.8820259618796 42.9112970199484),55,M,,M,1068274.8449798971,1060889.445048608,W UTICA ST & RICHMOND AVE,UTICA / RICHMOND,B39,Utica / Richmond,2008-2010
POINT (-78.87394198093672 42.89941698798536),69,A,,M,1070425.5149818994,1056552.2050445601,DELAWARE AVE & ALLEN ST,Delaware / Allen,B40,Delaware / Allen,2008-2010
POINT (-78.89218503514218 42.90131400316089),69,A,,M,1065539.974977348,1057260.975045219,PORTER AVE & NIAGARA ST,Porter / Niagara,B41,Porter / Niagara,2008-2010
POINT (-78.87706701785964 42.913181005706015),69,A,,M,1069605.6949811392,1061571.3850492463,ELMWOOD AVE & LEXINGTON AVE,Elmwood / Lexington,B42,Elmwood / Lexington,2008-2010
POINT (-78.8718759699103 42.89331700293817),55,M,,M,1070971.4649824053,1054327.1750424877,MAIN ST & E TUPPER ST,MAIN / TUPPER,B97 - 99,695 Main,
POINT (-78.89047640644225 42.884507226990245),100,PP,,M,1065975.4252990244,1051134.111829396,,ERIE BASIN MARINA TOWER,B50,Erie Basin Marina Tower,2008-2010
POINT (-78.87775689423998 42.883178840175184),100,PP,,M,1069382.6425090616,1050637.8068675413,,HEADQUARTERS LOBBY,HQ,Headquarters Lobby,
POINT (-78.83237799167816 42.911278020094166),69,A,,M,1081575.0349922813,1060839.2350485623,BOX AVE & KEHR ST,Box / Kehr,C1,Box / Kehr,2008-2010
POINT (-78.83715298406146 42.89344896904272),69,A,,M,1080276.2649910748,1054345.2950425148,BROADWAY ST & LOMBARD ST,Broadway / Lombard,C2,Broadway / Lombard,2008-2010
POINT (-78.82473602868421 42.89552402063635),69,A,,T,1083605.7749941759,1055091.7550432011,BROADWAY ST & PERSON ST,Broadway / Person,C3,Broadway / Person,2008-2010
POINT (-78.82440503507989 42.91445001693478),55,M,,M,1083714.2249942757,1061989.0450496227,E FERRY ST & MOSELLE ST,FERRY / MOSELLE,C5,Ferry / Moselle,2008-2010
POINT (-78.83907496460297 42.91094803966304),69,A,,M,1079780.6149906106,1060724.3550484553,FILLMORE AVE & E UTICA ST,Fillmore / E. Utica,C6,Fillmore / E. Utica,2008-2010
POINT (-78.83901199945196 42.905756965114435),85,A,,M,1079791.7349906191,1058832.4250466898,FILLMORE AVE & MARTIN LUTHER KING PARK,Fillmore / Park (MLK),C7,Fillmore / Park (MLK),2008-2010
POINT (-78.81370405963342 42.912635001782796),69,A,,M,1086578.9549969435,1061319.535048999,GENESEE ST & BAILEY AVE,Genesee / Bailey,C8,Genesee / Bailey,2008-2010
POINT (-78.80497500698587 42.889756010111014),55,M,,M,1088895.3749990985,1052975.0550412387,E LOVEJOY ST & GOLD ST,LOVEJOY / GOLD,C9,Lovejoy / Gold,2008-2010
POINT (-78.8440139932913 42.88963703677775),69,A,,M,1078433.4349893592,1052961.6650412157,PADEREWSKI DR & SMITH ST,Paderewski / Smith,C10,Paderewski / Smith,2008-2010
POINT (-78.82192004075661 42.90311498852053),69,A,,M,1084368.1849948876,1057856.1150457785,SYCAMORE ST & GOODYEAR AVE,Sycamore / Goodyear,C11,Sycamore / Goodyear,2008-2010
POINT (-78.83174100364039 42.90356901024339),69,A,,M,1081737.3849924318,1058029.1950459406,WALDEN AVE & ROTHER AVE,Walden / Rother,C12,Walden / Rother,2008-2010
POINT (-78.82423303465319 42.90842604447387),69,A,,M,1083754.0149943084,1059793.4850475788,MOSELLE ST & GENESEE ST,Moselle / Genesee,C13,Moselle / Genesee,2008-2010
POINT (-78.84807200652692 42.907384013869134),69,A,,M,1077366.2949883677,1059432.9050472453,WOHLERS AVE & NORTHAMPTON ST,Wohlers / Northampton,C15,Wohlers / Northampton,2008-2010
POINT (-78.80432101884574 42.90613504472524),69,A,,M,1089086.304999277,1058943.8950467855,WALDEN AVE & POPLAR AVE,Walden / Poplar,C16,Walden / Poplar,2008-2010
POINT (-78.84118593072833 42.89703098114107),69,A,,M,1079199.5649900734,1055654.0350437239,SYCAMORE ST & STRAUSS ST,Sycamore / Strauss,C17,Sycamore / Strauss,2008-2010
POINT (-78.80360394609664 42.91668798571321),69,A,,M,1089288.484999463,1062789.3950503692,GENESEE ST & SPRENGER AVE,Genesee / Sprenger,C30,Genesee / Sprenger,2008-2010
POINT (-78.81155396861008 42.905162007563945),69,A,,T,1087147.5449974686,1058594.4450464621,WALDEN AVE & SUMNER PL,Walden / Sumner,C31,Walden / Sumner,2008-2010
POINT (-78.83922096435163 42.88500097443333),69,A,,M,1079712.754990548,1051268.125039637,WILLIAM ST & FILLMORE AVE,William / Fillmore,C32,William / Fillmore,2008-2010
POINT (-78.84807597808091 42.90558196575797),64,A,,M,1077363.164988365,1058776.1550466344,DODGE ST & WOHLERS AVE,Dodge / Wholers,C33,Dodge / Wholers,2008-2010
POINT (-78.8149570652324 42.908069962879004),69,A,,T,1086238.7149966247,1059656.7350474522,BURGARD PL & HAZEL PL,Burgard / Hazel,C34,Burgard / Hazel,2008-2010
POINT (-78.83911894181418 42.91462297197947),85,M,,M,1079772.904990606,1062063.7150496915,E FERRY ST & FILLMORE AVE,E FERRY ST / FILLMORE,C97 - 99,693 E Ferry St,1/1/2012
POINT (-78.8898781124158 42.925407915681106),75,A,L,M,1066190.0658668831,1066039.7134724837,420 GRANT ST,420 Grant,D1,420 Grant,2008-2010
POINT (-78.89860017451399 42.9550208574947),75,A,R,M,1063894.4978807657,1076840.7996916526,427 ONTARIO ST,427 Ontario,D2,427 Ontario,2008-2010
POINT (-78.87721664190941 42.91804639316092),75,A,L,M,1069571.8064418393,1063344.7102832957,770 ELMWOOD AVE,770 Elmwood,D3,770 Elmwood,2008-2010
POINT (-78.8433259530252 42.94030500244921),71,A,,M,1078674.874989584,1071426.9750584215,AMHERST ST & DUANE TER,E. Amherst / Duane Terr.,D4,E. Amherst / Duane Terr.,2008-2010
POINT (-78.87700898592853 42.92323901996349),69,A,,T,1069634.0349811614,1065236.9650526568,ELMWOOD AVE & BIDWELL PKWY,Elmwood / Bidwell,D5,Elmwood / Bidwell,2008-2010
POINT (-78.90547196601814 42.95292401472553),69,A,,M,1062051.984974105,1076083.5750627592,TONAWANDA ST & RIVERSIDE AVE,Tonawanda / Riverside,D8,Tonawanda / Riverside,2008-2010
POINT (-78.88985993674648 42.93823203231868),69,A,,M,1066211.9649779722,1070713.4450577572,GRANT ST & AMHERST ST,Grant / Amherst,D9,Grant / Amherst,2008-2010
POINT (-78.89056103028571 42.91677001881604),69,A,,M,1065995.6649777777,1062892.30505047,GRANT ST & BRECKENRIDGE ST,Grant / Breckenridge,D10,Grant / Breckenridge,2008-2010
POINT (-78.88764493752498 42.91533302370817),55,M,,M,1066774.894978501,1062365.7550499737,HAMPSHIRE ST & W FERRY ST,HAMPSHIRE / FERRY,D11,Hampshire / Ferry,2008-2010
POINT (-78.85896901144538 42.94772900271654),69,A,,T,1074495.084985692,1074145.995060958,HERTEL AVE & COLVIN AVE,Hertel / Colvin,D12,Hertel / Colvin,2008-2010
POINT (-78.86878004479311 42.94760792563272),100,PP,,M,1071868.2028372965,1074110.6313727933,,Hertel / Delaware,D13,Hertel / Delaware,11/1/2016
POINT (-78.85309398916812 42.94767404530476),69,A,,M,1076067.9549871571,1074120.8650609255,HERTEL AVE & STERLING AVE,Hertel / Sterling,D14,Hertel / Sterling,2008-2010
POINT (-78.85100905211418 42.93588397848388),69,A,,M,1076612.484987665,1069822.1850569248,PARKSIDE AVE & JEWETT PKWY,Parkside / Jewett,D15,Parkside / Jewett,2008-2010
POINT (-78.87703598861985 42.93338698905363),85,A,,M,1069639.7149811685,1068935.415056102,ELMWOOD AVE & IROQUOIS,Elmwood / Iroquois,D16,Elmwood / Iroquois,2008-2010
POINT (-78.8914224168017 42.93242770498186),100,PP,,M,1065785.825650675,1068599.5853184906,,IMPOUND GARAGE 1,D17,Impound Garage 1,
POINT (-78.8915457527893 42.93210605138912),100,PP,,M,1065752.3668892018,1068482.4796533338,,IMPOUND GARAGE 2,D18,Impound Garage 2,
POINT (-78.88885300554858 42.93225695295953),69,A,,T,1066473.684978217,1068534.8450557217,GRANT ST & LETCHWORTH ST,Grant / Letchworth,D30,Grant / Letchworth,2008-2010
POINT (-78.86886695664423 42.951511974124024),69,A,,M,1071849.7649832256,1075533.5450622365,DELAWARE AVE & TACOMA AVE,Delaware / Tacoma,D31,Delaware / Tacoma,2008-2010
POINT (-78.86426394453146 42.94775001724156),69,A,,M,1073077.484984368,1074158.3450609595,HERTEL AVE & FAIRCHILD PL,Hertel / Fairchild,D32,Hertel / Fairchild,2008-2010
POINT (-78.87863600047507 42.940565004358206),69,A,,T,1069220.4249807745,1071552.9450585395,ELMWOOD AVE & AMHERST ST,Elmwood/Amherst,D33,Elmwood/Amherst,2008-2010
POINT (-78.86789300658042 42.94194998338059),69,A,,T,1072098.7149834558,1072047.7850589901,DELAWARE AVE & GREAT ARROW AVE,Delaware / Great Arrow,D34,Delaware / Great Arrow,2008-2010
POINT (-78.850740032641 42.94043299129148),69,A,,T,1076689.7949877307,1071479.8450584635,AMHERST ST & PARKSIDE AVE,Amherst / Parkside,D35,Amherst / Parkside,2008-2010
POINT (-78.8611528958847 42.933772044206385),100,PP,,M,1073893.5856753169,1069061.2986075755,,DELAWARE TOWER,D36,Delaware Tower,
POINT (-78.87853201830205 42.95862602170509),69,A,,M,1069271.3749808222,1078135.2050646693,ELMWOOD AVE & KENMORE AVE,Elmwood / Kenmore,D37,Elmwood / Kenmore,2008-2010
POINT (-78.90321995551673 42.95782403976572),69,A,,M,1062661.6649746671,1077867.0950644165,ESSER AVE & ECKHERT ST,Esser / Eckhert,D38,Esser / Eckhert,2008-2010
POINT (-78.87468117827518 42.932877332542304),100,PP,,M,1070269.6772609341,1068747.4776912532,,ALBRIGHT KNOX,D39,Albright Knox,2008-2010
POINT (-78.90714595347421 42.95616098500365),69,A,,M,1061608.3849736862,1077265.015063852,ESSER AVE & TONAWANDA ST,Esser / Tonawanda,D40,Esser / Tonawanda,2008-2010
POINT (-78.89323399440926 42.91520402275895),55,M,,M,1065277.564977102,1062324.205049932,W FERRY ST & HERKIMER ST,FERRY / HERKIMER,D41,Ferry / Herkimer,2008-2010
POINT (-78.86441501701405 42.91534497488237),55,M,,M,1072997.5749842934,1062348.4650499597,MAIN ST & E FERRY ST,MAIN / FERRY,D42,Main / Ferry,2008-2010
POINT (-78.88616994404398 42.924083997235286),69,A,,M,1067181.4849788807,1065553.6150529534,HOYT ST & POTOMAC AVE,Hoyt / Potomac,D43,Hoyt / Potomac,2008-2010
POINT (-78.89944602334518 42.91519505027494),85,A,,M,1063613.5149755552,1062327.1250499487,NIAGARA ST & W FERRY ST,Niagara / W Ferry St,D44,Niagara / W Ferry St,2008-2010
POINT (-78.88391857299983 42.94758205583667),75,A,R,M,1067815.0850514155,1074115.3257164864,669 HERTEL AVE,669 Hertel (Lobby),D97 - 99,669 Hertel,1/1/2012
POINT (-78.81364504475518 42.94116003130473),69,M,,M,1086623.224996984,1071715.4250586852,BAILEY AVE & BERKSHIRE AVE,BAILEY / BERKSHIRE,E1,Bailey / Berkshire,2008-2010
