OBJECTID,ID,NAME,ADDRESS,DEPARTMENT,INSTALL_YEAR,PS_14,PS_32,VDRVP_W_S,TOTAL_SITE_SERVERS,MONITOR,EXTERIOR_CAM,INTERIOR_CAM,PTZ_CAM,TOTAL_STATIONARY_CAM,TOTAL_SITE_CAMERA,TOTAL_SITE_CAMERA2,AVAILABLE_CAMERA_PORT,DESCRIPTION,X,Y,LATITUDE,LONGITUDE
24,14,CCTV- 14,12th St. and Constitution Ave. NW,DDOT,,,,,,,,,,,,,,DDOT CCTV,397569.5893,136027.5842,38.892096,-77.028025
25,15,CCTV- 15,13th St.  H St. and New York Ave. NW,DDOT,,,,,,,,,,,,,,DDOT CCTV,397432.2156,136942.3048,38.900275,-77.029626
26,351,Powell Elementary School,1350 UPSHUR STREET NW,DCPS,2003,0,1,0,1,1,2,12,0,14,14,32,18,DCPS,397292.79049768,141516.38999872,38.94153401,-77.03122742
27,352,Brightwood Elementary School,1300 NICHOLSON STREET NW,DCPS,2007,0,0,1,1,2,5,17,0,22,22,32,10,DCPS,397340.18949939,143625.69999795,38.96053539,-77.03068885
28,353,Sharpe Health Special Education School,4300 13TH STREET NW,DCPS,1999,2,0,0,2,2,4,12,0,16,38,28,12,DCPS,397358.66949447,141731.75999905,38.94347432,-77.03046834
29,412,CFSA @ 955 L'Enfant - Promanade Level& 5th Floor Suites,955 L'Enfant Promanade Level,PSD, , , , , , , , , , , , , , ,397827.43949969,135181.95000322,38.88447273,-77.02504025
30,413,Woodrow Wilson Senior High School,3950 CHESAPEAKE STREET NW,DCPS,2005,0,0,2,2,2,8,55,0,63,63,64,1,DCPS,393258.1795018,142475.95999837,38.95015639,-77.0777757
31,415,Deal Junior High School,3815 FORT DRIVE NW,DCPS,1999,0,1,0,1,2,3,25,0,28,145,32,4,DCPS,393481.78049661,142779.94000208,38.95289641,-77.07519906
32,16,CCTV- 16,13th St. and I St. NW,DDOT,,,,,,,,,,,,,,DDOT CCTV,397432.2508,137050.7111,38.901331,-77.029627
33,17,CCTV- 17,13th St. and K St. NW,DDOT,,,,,,,,,,,,,,DDOT CCTV,397432.2947,137186.219,38.902512,-77.029634
34,18,CCTV- 18,14 th & ConstitutionN.W.,DDOT,,,,,,,,,,,,,,DDOT CCTV,397241.2986,136027.6917,38.892116,-77.031785
35,19,CCTV- 19,14th and Independence St. N.W.,DDOT,,,,,,,,,,,,,,DDOT CCTV,397225.2426,135539.87,38.887615,-77.032038
36,427,Hyde Elementary School,3219 O STREET NW,DCPS,2003,0,1,0,1,1,2,12,0,14,14,32,18,DCPS,394402.36949319,137797.4799958,38.90801923,-77.06453782
37,431,Georgetown Recreation Center,3030 Q St. NW,DPR, , , , , , ,2,4,2, ,6, , ,DPR,394733.60050011,138049.06000413,38.9102876,-77.06072083
38,433,Oyster-Adams Bilingual School,2801 CALVERT STREET NW-2020 19th ST NW,DCPS,1999,2,0,0,2,1,8,20,0,28,28,28,0,DCPS,395039.59949274,139526.14999837,38.92359549,-77.05720338
39,438,1S,"I-395, CAMERA DIR - SOUTH",DDOT, , , , , , , , , , , , , , ,398737.80283713,136279.96637946,38.89436585,-77.0145497
40,439,4S,"I-395, CAMERA DIR - SOUTH",DDOT, , , , , , , , , , , , , , ,398768.80158126,136309.42799779,38.89463129,-77.01419243
41,440,12N,"I-395, CAMERA DIR - NORTH",DDOT, , , , , , , , , , , , , , ,398789.6287153,136210.53944174,38.8937405,-77.01395217
42,441,9N,"I-395, CAMERA DIR - NORTH",DDOT, , , , , , , , , , , , , , ,398776.87624757,136218.43382537,38.8938116,-77.01409918
43,442,5S,"I-395, CAMERA DIR - SOUTH",DDOT, , , , , , , , , , , , , , ,398767.7673417,136192.9288899,38.89358183,-77.01420414
44,20,CCTV- 20,14th St. and H St. NW,DDOT,,,,,,,,,,,,,,DDOT CCTV,397225.734,136942.3745,38.900207,-77.031962
45,21,CCTV- 21,14th St. and I St. NW,DDOT,,,,,,,,,,,,,,DDOT CCTV,397225.772,137050.7807,38.901331,-77.031956
46,22,CCTV- 22,14th St. and New York Ave. NW,DDOT,,,,,,,,,,,,,,DDOT CCTV,397230.9952,136847.5171,38.899434,-77.03195
47,23,CCTV- 23,14th St. and Park Rd. NW,DDOT,,,,,,,,,,,,,,DDOT CCTV,397163.3934,140269.1233,38.93031,-77.032745
48,24,CCTV- 24,14th Street and Pennsylvania Ave. N.W.,DDOT,,,,,,,,,,,,,,DDOT CCTV,397225.5702,136474.8726,38.896094,-77.031955
49,25,CCTV- 25,14th Street Bridge,DDOT,,,,,,,,,,,,,,DDOT CCTV,396414.5131,134340.9548,38.876828,-77.041306
50,443,2S,"I-395, CAMERA DIR - SOUTH",DDOT, , , , , , , , , , , , , , ,398750.1567923,136166.81669454,38.89334657,-77.01440709
51,444,3S,"I-395, CAMERA DIR - SOUTH",DDOT, , , , , , , , , , , , , , ,398750.1567923,136058.7243488,38.89237284,-77.01440689
52,445,8N,"I-395, CAMERA DIR - NORTH",DDOT, , , , , , , , , , , , , , ,398776.87624757,136107.91244,38.89281598,-77.01409899
53,446,11N,"I-395, CAMERA DIR - NORTH",DDOT, , , , , , , , , , , , , , ,398793.27227715,136098.19627423,38.89272847,-77.01390997
54,447,7N,"I-395, CAMERA DIR - NORTH",DDOT, , , , , , , , , , , , , , ,398777.68592744,136005.48785579,38.8918933,-77.01408947
55,448,10N,"I-395, CAMERA DIR - NORTH",DDOT, , , , , , , , , , , , , , ,398790.64081514,135986.05552425,38.89171827,-77.01394011
56,449,8S,"I-395, CAMERA DIR - SOUTH",DDOT, , , , , , , , , , , , , , ,398768.77944154,135857.31632714,38.8905585,-77.01419187
57,528,Peabody Elementary School,425 C STREET NE,DCPS,1999,0,1,0,1,1,4,10,0,14,14,32,18,DCPS,400012.32049291,136116.69999513,38.89289599,-76.99985798
58,529,Hendley Elementary School,425 CHESAPEAKE STREET SE,DCPS,1999,1,0,0,1,2,2,12,0,14,14,14,0,DCPS,400070.78050071,129022.18000311,38.82898558,-76.99918484
59,530,Jackie Robinson Center,821 HOWARD ROAD SE,DCPS, , , , , , , , , , , , , ,DPR,400169.36949788,132911.51000189,38.86402237,-76.99804846
60,510,Raymond Elementary School,915 SPRING ROAD NW,DCPS,2003,0,1,0,1,1,2,13,0,15,15,32,17,DCPS,397708.28049432,140880.94000267,38.93581087,-77.02643265
61,511,Garnet-Patterson Middle School,2001 10TH STREET NW,DCPS,1999,0,1,0,1,2,1,15,0,16,19,32,16,DCPS,397767.00049607,138853.22999819,38.91754477,-77.02574878
