FID,Community,Neigh,Tracts,Link
1,Allendale/Irvington/S. Hilton,"Allendale, Carroll-South Hilton, Gwynns Falls, Irvington, Saint Josephs, Uplands, Yale Heights, Lower Edmondson Village","280404, 200701, 200600, 200702, 200800, 250102",http://bniajfi.org/community/Allendale_Irvington_S.%20Hilton/
2,Beechfield/Ten Hills/West Hills,"Beechfield, Hunting Ridge, Ten Hills, Tremont, West Hills, Westgate","280403, 280401, 250101",http://bniajfi.org/community/Beechfield_Ten%20Hills_West%20Hills/
3,Belair-Edison,"Belair-Edison, Clifton Park, Four By Four, Mayfield, Herring Run Park","260301, 080102, 080101, 260302",http://bniajfi.org/community/Belair-Edison/
4,Brooklyn/Curtis Bay/Hawkins Point,"Brooklyn, Curtis Bay, Fairfield Area, Hawkins Point, Curtis Bay Industrial Area","250500, 250600, 250401, 250402",http://bniajfi.org/community/Brooklyn_Curtis%20Bay_Hawkins%20Point/
5,Canton,"Canton, Patterson Park","010400, 010300, 010100",http://bniajfi.org/community/Canton
6,Cedonia/Frankford,"Cedonia, Frankford, Cedmont, Parkside","260203, 260101, 260102, 260201, 260202",http://bniajfi.org/community/Cedonia_Frankford/
7,Cherry Hill,"Cherry Hill, Middle Branch/Reedbird Parks","250207, 250204, 250203",http://bniajfi.org/community/Cherry%20Hill
8,Chinquapin Park/Belvedere,"Cameron Village, Chinquapin Park, Lake Walker, Mid-Govans, Belvedere, Evesham Park","270804, 270805",http://bniajfi.org/community/Chinquapin%20Park_Belvedere/
9,Claremont/Armistead,"Armistead Gardens, Claremont-Freedom (now Orchard Ridge), Orchard Ridge","260303, 260401, 260403, 260402",http://bniajfi.org/community/Claremont_Armistead/
10,Clifton-Berea,"Berea, Biddle Street, Broadway East, Darley Park, South Clifton Park","080500, 080302, 080200, 080301, 080400",http://bniajfi.org/community/Clifton-Berea/
11,Cross-Country/Cheswolde,"Cheswolde, Cross Country","272003, 272005, 272004",http://bniajfi.org/community/Cross-Country_Cheswolde/
12,Dickeyville/Franklintown,"Dickeyville, Franklintown, Purnell, Wakefield",280301,http://bniajfi.org/community/Dickeyville_Franklintown/
13,Dorchester/Ashburton,"Ashburton, Callaway-Garrison, Central Forest Park, Dolfield, Dorchester, East Arlington","151000, 151100",http://bniajfi.org/community/Dorchester_Ashburton/
14,Downtown/Seton Hill,"Downtown, Seton Hill, University of Maryland","170100, 040100, 040200",http://bniajfi.org/community/Downtown_Seton%20Hill/
15,Edmondson Village,"Edmondson Village, Rognel Heights, Gwynns Falls/Leakin Park, Edgewood","160801, 160802, 280402",http://bniajfi.org/community/Edmondson%20Village/
16,Fells Point,"Butcher's Hill, Fells Point, Upper Fells Point","020200, 020300, 020100, 010500",http://bniajfi.org/community/Fells%20Point/
17,Forest Park/Walbrook,"Concerned Citizens Of Forest Park, Fairmont, Forest Park, Garwyn Oaks, Mount Holly, West Forest Park, Windsor Hills","280302, 150800, 150900",http://bniajfi.org/community/Forest%20Park_Walbrook/
18,Glen-Fallstaff,"Fallstaff, Glen, Reisterstown Station, Woodmere","280101, 272007, 271900, 272006",http://bniajfi.org/community/Glen-Fallstaff/
19,Greater Charles Village/Barclay,"Abell, Barclay, Charles Village, Harwood, Oakenshawe, Johns Hopkins Homewood, Old Goucher","120400, 120300, 120600, 120202, 120201",http://bniajfi.org/community/Greater%20Charles%20Village_Barclay/
20,Greater Govans,"Kenilworth Park, Pen Lucy, Richnor Springs, Wilson Park, Winston-Govans, Woodbourne-McCabe, Wrenlane","271002, 271001, 090100",http://bniajfi.org/community/Greater%20Govans/
21,Greater Mondawmin,"Burleith-Leighton, Hanlon-Longwood, Liberty Square, Mondawmin, Panway/Braddish Avenue, Walbrook","150500, 150400, 150702, 150701",http://bniajfi.org/community/Greater%20Mondawmin/
22,Greater Roland Park/Poplar Hill,"Cross Keys, Evergreen, Keswick, North Roland Park/Poplar Hill, Roland Park, Wyndhurst","271300, 271400, 271503",http://bniajfi.org/community/Greater%20Roland%20Park_Poplar%20Hill/
