OBJECTID,CSA2010,hsagov10,hsagov11,hsagov13,hsagov14,SHAPE_Length,SHAPE_Area
1,Allendale/Irvington/S. Hilton,52.9940119760479,46.031746031746,38.5245901639344,49.6453900709219,38770.1655711966,63770461.7790932
2,Beechfield/Ten Hills/West Hills,60.1226993865031,52.3489932885906,53.9325842696629,68,37524.9505333862,47882527.7112373
3,Belair-Edison,39.010989010989,40.7035175879397,41.9354838709677,63.2432432432432,31307.3148434905,44950030.4722053
4,Brooklyn/Curtis Bay/Hawkins Point,55.625,48.3516483516484,58.974358974359,58.5585585585585,150987.70363871,176077742.748461
5,Canton,18.1818181818182,63.6363636363636,25,100,23338.6119476392,15408538.2249734
6,Cedonia/Frankford,44.2396313364055,41.0596026490066,35.0710900473934,55.9241706161137,39962.5498346887,71541340.306082
7,Cherry Hill,43.646408839779,40.7185628742515,37.7358490566038,42.2222222222222,22305.3020666774,29144181.351516
8,Chinquapin Park/Belvedere,47.1264367816092,56.1904761904762,60.4651162790698,55.7692307692307,21705.411630324,21022590.1303212
9,Claremont/Armistead,48.1927710843374,43.1192660550459,47.6923076923077,52.7777777777777,40104.4159801772,61243774.4204004
10,Clifton-Berea,40.2390438247012,34.3283582089552,33.3333333333333,52.6881720430107,24022.7646207856,23285233.9251306
11,Cross-Country/Cheswolde,63.3333333333333,51.219512195122,70.9677419354839,78.125,26788.3018784185,38222018.3165464
12,Dickeyville/Franklintown,51.063829787234,48.6486486486487,57.1428571428571,54.5454545454545,31637.8174238148,35719112.414486
13,Dorchester/Ashburton,50.6329113924051,43.8144329896907,50.4672897196262,61.1111111111111,27136.0757115223,34118277.1815219
14,Downtown/Seton Hill,47.0588235294118,36.8421052631579,44.4444444444444,33.3333333333333,21565.8593945388,20736554.4071934
15,Edmondson Village,54.2372881355932,43.2748538011696,56,51.8072289156626,21504.5513578719,23563061.0426838
16,Fells Point,50,72.2222222222222,66.6666666666667,75,27670.1699158504,12620515.7178779
17,Forest Park/Walbrook,50,43.3566433566434,55.1282051282051,61.9565217391304,36886.899781185,37200535.0297002
18,Glen-Fallstaff,50,52.0325203252033,52.8089887640449,69.5652173913043,48549.0046179359,46995477.4779553
19,Greater Charles Village/Barclay,37.3333333333333,53.5211267605634,54.1666666666667,76.0869565217391,26454.2692113378,27051213.4555493
20,Greater Govans,45.3658536585366,44.8979591836735,36.5591397849462,56.0975609756097,22982.1257150065,22698495.7172767
