X,Y,OBJECTID,CAM_NUM,NOTES,LOCATION,PROJ,XCOORD,YCOORD,created_user,created_date,last_edited_user,last_edited_date
-8529404.91911514,4763463.14452065,1,1, ,Eutaw and Lexington Market,Downtown,-76.62095022,39.29116212,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529396.51450012,4763342.97343057,2,2, ,Eutaw and Fayette,Downtown,-76.62087472,39.29032664,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529387.69994295,4763207.28631969,3,3, ,Eutaw and Baltimore,Downtown,-76.62079554,39.28938327,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529408.15890083,4763093.78439364,4,4, ,Eutaw and Redwood,Downtown,-76.62097933,39.28859413,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529380.03226975,4762953.37667533,5,5, ,Eutaw and Lombard,Downtown,-76.62072666,39.28761792,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529397.00210685,4762618.81670589,6,6, ,Eutaw and Camden,Downtown,-76.6208791,39.28529177,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529543.58078235,4762772.20412653,7,7, ,Paca and Pratt,Downtown,-76.62219584,39.28635826,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529711.82410997,4762915.00833078,8,8, ,Greene and Lombard,Downtown,-76.6237072,39.28735115,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529722.95644824,4763170.28235978,9,9, ,Greene and Baltimore,Downtown,-76.6238072,39.28912599,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529727.05064856,4763345.97721573,10,10, ,Greene and Fayette,Downtown,-76.62384398,39.29034752,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529729.51120259,4763500.45080846,11,11, ,Greene and Lexington,Downtown,-76.62386608,39.29142149,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529549.68650729,4763359.3746067,12,12, ,N Paca St and W Fayette St,Downtown,-76.62225069,39.29044067,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529209.2478555,4762933.53799774,13,13, ,S Howard St and W Lombard St,Downtown,-76.61919248,39.28747998,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529221.57667205,4762742.15626646,14,14, ,S Howard St and W Pratt St,Downtown,-76.61930323,39.28614934,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529192.52116226,4762632.77775828,15,15, ,S Howard St and W Camden St,Downtown,-76.61904222,39.28538884,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528889.87825188,4762773.70405933,16,16, ,S Hanover and W Pratt St,Downtown,-76.61632353,39.28636869,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529060.3702248,4762969.23601131,17,17, ,Hopkins Pl and W Lombard St,Downtown,-76.61785509,39.28772818,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529090.40304183,4763224.07165609,18,18, ,Park Ave and W Baltimore St,Downtown,-76.61812487,39.28949997,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529246.64437299,4763195.80784635,19,19, ,S Howard St and W Baltimore St,Downtown,-76.61952842,39.28930346,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529252.23692335,4763346.47289452,20,20, ,N Howard St and W Fayette St,Downtown,-76.61957865,39.29035097,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529261.95065533,4763529.42338615,21,21, ,N Howard St and W Lexington St,Downtown,-76.61966591,39.29162292,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529073.19822503,4763542.18822697,22,22, ,Park Ave and W Lexington St,Downtown,-76.61797032,39.29171166,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528996.42326679,4763517.54841824,23,23, ,N Liberty St and W Lexington St,Downtown,-76.61728064,39.29154036,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529054.40885829,4763356.72483755,24,24, ,N Liberty St and W Fayette St,Downtown,-76.61780153,39.29042224,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529061.24569841,4763380.0026749,25,25, ,Park Ave and W Fayette St,Downtown,-76.61786295,39.29058408,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528961.26435953,4763628.91824776,26,26, ,N Liberty St and Clay St,Downtown,-76.6169648,39.29231464,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528921.5507348,4763739.61164221,27,27, ,Cathedral St and W Saratoga St,Downtown,-76.61660805,39.29308421,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528931.93862688,4763887.2605229,28,28, ,Cathedral St and W Mulberry St,Downtown,-76.61670137,39.29411068,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528783.04043195,4763882.24381931,29,29, ,N Charles St and E Mulberry St,Downtown,-76.61536379,39.29407581,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528967.52361808,4764032.45482177,30,30, ,Cathedral St and W Franklin St,Downtown,-76.61702103,39.29512008,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529114.55114803,4764031.9419402,31,31, ,Park Ave and W Franklin St,Downtown,-76.6183418,39.29511652,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529106.18088881,4763889.1962203,32,32, ,Park Ave and W Mulberry St,Downtown,-76.61826661,39.29412414,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
